Id;StartDate;ProformaNo;InvoiceDate;InvoiceNumber;CustomerName;CustomerCountry;SalesPeople;TotalPrice;Currency;State;LastModifiedDate
1;2021-04-13;787;;;SARL GUERBAS COM;ALGERIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;23,510.00;1;;
2;2021-04-13;789;;;RECAMBIOS SAN JOSE;SPAIN;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;8,932.56;1;0;
3;2021-04-12;785;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;5017c88e-0ce0-4bc1-a362-4222fa152183;105.05;0;1;
4;2021-04-12;786;;;Pieces cap spartel S.A.R.L;Morocco;2284ecc5-24c0-4129-8476-4c8c442b2af4;12,450.00;1;0;
5;2021-04-09;784;;;KONTOCAR EE;GREECE;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;12,206.32;1;0;
6;2021-04-08;781;;;ricambi auto srl.;;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;155,960.00;1;;
7;2021-04-08;783;;;BİLHAN OTO;;2bd0f84d-81fd-4c69-8c98-2a6636b3348d;37,000.00;0;1;
8;2021-04-07;780;;;FAGO EGD;;2bd0f84d-81fd-4c69-8c98-2a6636b3348d;0;0;2;
9;2021-04-06;777;;;ALTERNATİF OTOMOTİV SAN.VE TİC.LTD.ŞTİ.;TÜRKİYE;2bd0f84d-81fd-4c69-8c98-2a6636b3348d;6,000.00;0;2;
10;2021-04-06;779;8.04.2021;ERK2021000000120;IVACI d.o.o.;CROTIA;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;3,304.94;1;1;
11;2021-04-05;743;6.04.2021;ERK2021000000117;Repuestos Miguel;SPAIN;2284ecc5-24c0-4129-8476-4c8c442b2af4;7,927.00;1;1;
12;2021-04-05;774;;;ÇOŞKUN YILDIZ OTOMOTİV;;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;85,480.00;0;1;
13;2021-03-31;771;;;BRN FİLTRE;;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;71,835.50;0;1;
14;2021-03-31;773;;;ERKO OTOMOTİV SANAYİ İÇ VE DIŞ TİC. A.Ş.;TÜRKİYE;69667298-7bcb-4922-93f1-ce0224bb60cc;394.4;0;1;
15;2021-03-30;768;;;MEST DIŞ TİCARET LTD. ŞTİ.;;2bd0f84d-81fd-4c69-8c98-2a6636b3348d;85;2;1;
16;2021-03-29;761;29.03.2021;ERK2021000000095;C.D.R. s.r.l.;ITALY;748bc6ef-e1bd-49a7-b570-9447dc03cb72;10;1;1;
17;2021-03-29;762;;;HUGO LUIS ESPINOLA;ARGENTINA;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;17,582.96;2;2;
18;2021-03-29;763;29.03.2021;ERK2021000000090;1L Benabid;Algeria;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;5.05;1;1;
19;2021-03-29;764;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;008e6fb4-0ada-4fdf-baac-0720f93f1920;534.33;0;1;
20;2021-03-29;766;5.04.2021;ERK2021000000105;Dieseltechnika Sp. z o.o.;POLAND;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;51,500.00;1;1;
21;2021-03-26;760;;;ERKO OTOMOTİV SANAYİ İÇ VE DIŞ TİC. A.Ş.;TÜRKİYE;008e6fb4-0ada-4fdf-baac-0720f93f1920;0;0;1;
22;2021-03-25;756;31.03.2021;ERO2021000000015;1L Benabid;Algeria;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;64,300.00;1;;
23;2021-03-25;757;9.04.2021;ERK2021000000090;AUTORENTAS DEL PACIFICO S.P.A.;CHILE;2284ecc5-24c0-4129-8476-4c8c442b2af4;437.5;1;4;
24;2021-03-24;754;;;FAGO EGD;;2bd0f84d-81fd-4c69-8c98-2a6636b3348d;81,510.00;0;1;
25;2021-03-24;755;19.04.2021;ERO2021000000030;Société Professionnelle Pièce Auto S.P.P.A;TUNISIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;12,400.00;1;5;
26;2021-03-23;749;;;Zarget EOOD;BULGARIA;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;3,440.00;1;2;
27;2021-03-23;750;24.03.2021;FLS202100000000033;RECALVI S.L.;Spain;2284ecc5-24c0-4129-8476-4c8c442b2af4;55,356.47;1;1;
28;2021-03-23;751;;;SEGA FİLTRE SAN. VE DIŞ TİC. LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;13,370.00;0;1;
29;2021-03-23;753;23.03.2021;ERK2021000000102;Common Rail Kontor Inh. Caroline Durst;GERMANY;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;98,500.00;1;1;
30;2021-03-22;746;13.04.2021;FLS202100000000019;TROHOS PAPATHEODOROU S.A;GREECE;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;5,813.20;1;2;
31;2021-03-22;747;;;C&T AUTOPARTS;MALTA;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;0;1;8;
32;2021-03-22;748;;;K.P.LOUKAKIS KAI SIA EE;GREECE;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;5,220.00;1;;
33;2021-03-19;744;22.03.2021;FLS202100000000030;INTERPART  LTD;GREECE;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;4,192.40;1;1;
34;2021-03-19;745;;;AUTONILE COMP.;EGYPT;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;20,453.50;1;2;
35;2021-03-18;678;18.03.2021;ERO2021000000012;SARL FRERES SIGHA IMPORT-EXPORT;ALGERIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;117,990.00;1;8;
36;2021-03-18;740;;;HÜSEYİN DAGITMAÇ;;5017c88e-0ce0-4bc1-a362-4222fa152183;6,117.00;0;1;
37;2021-03-18;741;;;SARL ABAMAD IMPORT-EXPORT;ALGERIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;;1;8;
38;2021-03-18;742;;;Record – Sammy & Aaron Cohen Ltd.;ISRAEL;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;13,446.78;1;0;
39;2021-03-17;733;;;aml oto oto -ismail gebze;;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;198,440.00;0;1;
40;2021-03-17;734;;;AUTORENTAS DEL PACIFICO S.P.A.;CHILE;2284ecc5-24c0-4129-8476-4c8c442b2af4;14,712.74;1;0;
41;2021-03-17;738;;;COŞKUN YILDIZ OTOMOTİV;;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;26,730.00;0;1;
42;2021-03-17;739;;;CENK NUMUNE;;008e6fb4-0ada-4fdf-baac-0720f93f1920;0;0;1;
43;2021-03-16;728;;;MEST DIŞ TİCARET LTD. ŞTİ.;;cc1db141-c87a-4641-9a40-b872bcc7263d;165,380.00;0;1;
44;2021-03-16;729;18.03.2021;ERK2021000000098;IVACI d.o.o.;CROTIA;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;3,887.16;1;1;
45;2021-03-16;730;;;OTO İSMAİL OTOMOTİV SAN.TİC.LTD.ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;492,480.00;0;1;
46;2021-03-15;723;;;Origin Parts PC;GREECE;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;3,102.18;1;8;
47;2021-03-15;724;;;COŞKUN YILDIZ OTOMOTİV;;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;22,000.00;0;1;
48;2021-03-15;727;;;ALL SERVİCE SRLS;ITALY;748bc6ef-e1bd-49a7-b570-9447dc03cb72;125,552.30;1;2;
49;2021-03-12;721;;;MEST DIŞ TİCARET LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;615;0;1;
50;2021-03-12;722;18.03.2021;FLS202100000000027;Alexiadis-Tsalikidis SA;Greece;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;2,301.10;1;1;
51;2021-03-11;719;;;ERKO OTOMOTİV SANAYİ İÇ VE DIŞ TİC. A.Ş.;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;631.69;0;1;
52;2021-03-11;720;;;BAYBORA KÖK - 54076100812;;5017c88e-0ce0-4bc1-a362-4222fa152183;100;0;1;
53;2021-03-10;716;;;BusCenter;UKRAINE;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;3,495.30;1;;
54;2021-03-10;717;30.03.2021;FLS00000000033;AVTOBRIG;UKRAINE;7a8bec9f-ab12-44ea-a216-80ea3ed7aade;5,020.93;1;6;
55;2021-03-10;718;18.03.2021;FLS202100000000025;Liakopoulos Commercial & Industrial SA.;Greece;d3ae82e8-a934-405b-a9dd-fa5aa5aee55f;4,324.65;1;1;
56;2021-03-08;710;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;69667298-7bcb-4922-93f1-ce0224bb60cc;109,634.50;0;1;
57;2021-03-08;711;;;BRN FİLTRE;;69667298-7bcb-4922-93f1-ce0224bb60cc;188;0;1;
